site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG33,all_scores_ESS50_SEG33,SCH,SEG33,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,8.17,3.55,37,278.8,69.7,616.13,all_scores_ESS50,4.960010616,69.7,2505
SEG34,all_scores_ESS50_SEG34,SCH,SEG34,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,27.76,8.09,37,278.8,69.7,616.13,all_scores_ESS50,4.960010616,69.7,2505
SEG35,all_scores_ESS50_SEG35,SCH,SEG35,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,27.76,2.47,40,311.82,77.96,725.59,all_scores_ESS50,4.960010616,77.96,2505
SEG36,all_scores_ESS50_SEG36,SCH,SEG36,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,6.56,3.33,36,270.93,67.73,584.86,all_scores_ESS50,4.960010616,67.73,2505
SEG37,all_scores_ESS50_SEG37,SCH,SEG37,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,18.16,4.37,21,0,0,450.03,all_scores_ESS50,4.26696435,0,2505
SEG38,all_scores_ESS50_SEG38,SCH,SEG38,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,3.32,2.1,34,187.26,46.81,582.51,all_scores_ESS50,4.026406893,46.81,2505
SEG39,all_scores_ESS50_SEG39,SCH,SEG39,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,11.76,1.74,34,187.26,46.81,582.51,all_scores_ESS50,4.026406893,46.81,2505
SEG40,all_scores_ESS50_SEG40,SCH,SEG40,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,16.62,3.88,25,0,0,574.74,all_scores_ESS50,4.26696435,0,2505
SEG41,all_scores_ESS50_SEG41,SCH,SEG41,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,8.11,0.98,39,297.28,74.32,678.68,all_scores_ESS50,4.960010616,74.32,2505
SEG42,all_scores_ESS50_SEG42,SCH,SEG42,6,2,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,10.93,4.01,29,0,0,699.48,all_scores_ESS50,4.26696435,0,2505
SEG43,all_scores_ESS50_SEG43,SCH,SEG43,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,9.72,2.82,23,0,0,512.39,all_scores_ESS50,4.26696435,0,2505
SEG46,all_scores_ESS50_SEG46,SCH,SEG46,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,3.34,1.67,41,311.82,77.96,725.59,all_scores_ESS50,4.960010616,77.96,2505
SEG47,all_scores_ESS50_SEG47,SCH,SEG47,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,10.08,4.99,36,270.93,67.73,584.86,all_scores_ESS50,4.960010616,67.73,2505
SEG48,all_scores_ESS50_SEG48,SCH,SEG48,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,42.2,1.02,37,278.8,69.7,616.13,all_scores_ESS50,4.960010616,69.7,2505
SEG49,all_scores_ESS50_SEG49,SCH,SEG49,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,10.53,1.39,26,0,0,605.94,all_scores_ESS50,4.26696435,0,2505
SEG1,all_scores_SEG01,SCH,SEG01,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,23,0.42,45,321.06,80.27,756.86,all_scores,5.585010616,80.27,2505
