region,epid,abund_lepi,abund_plant,n_lepi,n_plant,n_spp,n_red_list_lepi_pa,n_red_list_plant_pa,n_red_list_pa,av_threat_lepi_pa,av_threat_plant_pa,av_threat_pa,sum_threat_lepi_pa,sum_threat_plant_pa,sum_threat_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,n_low_reg_dist_lepi_pa,n_low_reg_dist_plant_pa,n_low_reg_dist_pa,sum_troph_int_pa,n_unique_int_pa,n_crop_pests_pa,sum_crops_pa,av_crops_pa,n_spp_multidiv,n_red_list_multidiv,sum_threat_multidiv,n_low_reg_dist_multidiv,cwm_n_red_list_plant,cwm_n_red_list_lepi,cwm_av_threat_plant,cwm_av_threat_lepi,cwm_av_reg_dist_plant,cwm_av_reg_dist_lepi,cwm_n_low_reg_dist_plant,cwm_n_low_reg_dist_lepi,cwm_n_crop_pest,cwm_av_crops,connectance_pa,obs_nest_pa,final_nest_pa,z_score_nest_pa
SCH,SEG08,5,21,4,9,13,0,0,0,0,0,0,0,0,0,92,73,0,0,0,12,0,0,2,2,1.00694,0,0,0,0,0,0,0,72.26144,92.38275,0,0,0,0.69137,0.33333,64.58333,-2.89039,-0.21402
SCH,SEG09,1,21,1,7,8,0,0,0,0,0,0,0,0,0,95,69,0,0,0,2,0,0,2,2,0.54861,0,0,0,0,0,0,0,74.56545,95,0,0,0,2,0.28571,NA,NA,NA
SCH,SEG10,8,50,4,9,13,0,1,1,0,0.17,0.09,0,0.17,0.17,93,73,0,0,0,7,0,0,4,2,1.00694,0.5,0.25373,0,0.20832,0,0.03541,0,76.7507,93.14356,0,0,0,0.87524,0.19444,62.5,15.55305,1.12231
SCH,SEG11,11,24,4,10,14,0,1,1,0,0.17,0.09,0,0.17,0.17,94,69,0,0,0,7,0,0,2,2,1.06944,0.5,0.25373,0,0.19071,0,0.03242,0,72.02066,94.115710000000007,0,0,0,0.80471,0.175,50,5.0342,0.34799
SCH,SEG12,6,64,4,5,9,0,1,1,0,0.17,0.09,0,0.17,0.17,94,80,0,0,0,11,0,1,19,10,0.75694,0.5,0.25373,0,0.10325,0,0.01755,0,81.23443,93.61315,0,0,0.19343,3.9014,0.55,83.33333,14.26009,0.96821
SCH,SEG13,5,8,2,8,10,0,1,1,0,0.17,0.09,0,0.17,0.17,94,74,0,0,0,3,0,1,19,10,0.72222,0.5,0.25373,0,0.14095,0,0.02396,0,76.57164,94.44211,0,0,0.55789,10.36829,0.1875,NA,NA,NA
SCH,SEG14,3,43,3,6,9,0,1,1,0,0.17,0.09,0,0.17,0.17,94,69,0,0,0,6,0,1,19,10,0.70833,0.5,0.25373,0,0.06726,0,0.01143,0,77.01208,93.66667,0,0,0.33333,6.33333,0.33333,33.33333,-36.2696,-1.01352
SCH,SEG15,12,40,6,9,15,1,1,2,0.17,0.17,0.17,0.17,0.17,0.34,89,73,0,0,0,7,1,0,13,4,1.22917,1.5,1.25373,0,0.03708,0.11422,0.0063,0.01942,77.69935,90.64016,0,0,0,1.75215,0.12963,31.25,-1.41079,-0.11339
SCH,SEG16,13,110,4,6,10,0,0,0,0,0,0,0,0,0,92,77,0,0,0,6,0,1,19,10,0.81944,0,0,0,0,0,0,0,75.29746,93.39848,0,0,0.21594,4.53473,0.25,66.66667,5.05506,0.59022
SCH,SEG17,21,92,5,10,15,0,2,2,0,0.17,0.09,0,0.34,0.34,92,69,0,0,0,11,0,1,20,7,1.18056,1,0.50746,0,0.1338,0,0.02275,0,75.39981,93.43355,0,0,0.18276,4.16484,0.22,45.2381,-6.75358,-0.55615
SCH,SEG19,8,46,4,11,15,0,0,0,0,0,0,0,0,0,90,73,0,0,0,10,0,0,2,2,1.13194,0,0,0,0,0,0,0,76.1043,91.11203,0,0,0,0.53665,0.22727,61.90476,13.74311,1.31828
SCH,SEG20,4,119,3,7,10,0,0,0,0,0,0,0,0,0,92,71,0,0,0,3,0,1,10,5,0.77083,0,0,0,0,0,0,0,76.41281,92.21057,0,0,0.27894,3.11577,0.14286,NA,NA,NA
SCH,SEG21,4,62,4,8,12,0,0,0,0,0,0,0,0,0,85,67,0,0,0,13,0,0,2,2,0.94444,0,0,0,0,0,0,0,71.87623,84.75,0,0,0,0.5,0.40625,47.61905,-15.36973,-1.52845
SCH,SEG22,8,32,5,7,12,0,1,1,0,0.17,0.09,0,0.17,0.17,92,68,0,0,0,13,0,2,27,9,0.99306,0.5,0.25373,0,0.0457,0,0.00777,0,75.01863,92.11175,0,0,0.38268,5.64248,0.37143,73.33333,18.23557,1.44195
SCH,SEG23,6,52,2,3,5,0,0,0,0,0,0,0,0,0,95,67,0,0,0,1,0,0,2,2,0.40972,0,0,0,0,0,0,0,76.9137,95,0,0,0,0.81137,0.16667,NA,NA,NA
SCH,SEG24,10,38,6,9,15,0,2,2,0,0.17,0.09,0,0.34,0.34,93,63,0,1,1,12,0,1,19,10,1.22917,1,0.50746,1,0.08389,0,0.01426,0,68.25867,93.28608,0.04194,0,0.13184,2.92288,0.22222,58,11.04605,0.88558
SCH,SEG25,22,90,5,12,17,0,0,0,0,0,0,0,0,0,92,74,0,0,0,18,0,0,4,2,1.30556,0,0,0,0,0,0,0,75.66086,92.59193,0,0,0,0.72094,0.3,88.87097,25.80613,2.58814
SCH,SEG26,19,18,6,10,16,1,1,2,0.17,0.17,0.17,0.17,0.17,0.34,88,72,0,0,0,13,1,0,13,4,1.29167,1.5,1.25373,0,0.07737,0.09468,0.01315,0.0161,71.41315,91.04678,0,0,0,1.57303,0.21667,63.33333,7.79279,0.68042
SCH,SEG28,20,54,9,9,18,1,1,2,0.17,0.17,0.17,0.17,0.17,0.34,89,73,0,0,0,18,1,0,13,4,1.5625,1.5,1.25373,0,0.04099,0.07576,0.00697,0.01288,76.37559,90.70028,0,0,0,1.25872,0.22222,65.35088,3.77593,0.3437
SCH,SEG29,8,6,6,9,15,0,1,1,0,0.17,0.09,0,0.17,0.17,92,74,0,0,0,6,0,0,4,2,1.22917,0.5,0.25373,0,0.08986,0,0.01678,0,74.5216,92.5237,0,0,0,0.72106,0.11111,55.55556,4.13191,0.31246
SCH,SEG31,25,48,5,10,15,0,1,1,0,0.67,0.34,0,0.67,0.67,89,66,0,1,1,19,0,0,2,2,1.18056,0.5,1,1,0.03832,0,0.02568,0,70.90237,89.54338,0.03832,0,0,0.19848,0.38,90.32258,24.06127,2.44312
SCH,SEG32,3,54,2,9,11,0,1,1,0,0.67,0.34,0,0.67,0.67,90,59,0,1,1,8,0,0,0,0,0.78472,0.5,1,1,0.03726,0,0.02497,0,69.16823,90.83944,0.03726,0,0,0,0.44444,56.25,1.17826,0.68045
SCH,SEG33,26,75,6,7,13,0,0,0,0,0,0,0,0,0,92,73,0,0,0,3,0,1,10,5,1.10417,0,0,0,0,0,0,0,80.43954,92.10361,0,0,0.07977,0.89101,0.07143,NA,NA,NA
SCH,SEG34,6,58,2,6,8,0,0,0,0,0,0,0,0,0,94,72,0,0,0,3,0,0,2,2,0.59722,0,0,0,0,0,0,0,79.79448,93.21705,0,0,0,0.81137,0.25,NA,NA,NA
SCH,SEG35,4,26,3,5,8,0,0,0,0,0,0,0,0,0,94,77,0,0,0,4,0,1,17,17,0.64583,0,0,0,0,0,0,0,80.82754,93.88423,0,0,0.27894,4.74203,0.26667,75,8.25826,0.70198
SCH,SEG36,30,86,9,10,19,0,0,0,0,0,0,0,0,0,90,72,0,0,0,30,0,1,21,7,1.625,0,0,0,0,0,0,0,76.01443,90.22314,0,0,0.06112,1.44503,0.33333,78.88889,14.65214,1.7462
SCH,SEG37,34,87,6,15,21,0,0,0,0,0,0,0,0,0,92,67,0,0,0,43,0,1,20,7,1.60417,0,0,0,0,0,0,0,64.92553,91.47083,0,0,0.0824,1.74443,0.47778,80.78231,9.50725,1.70547
SCH,SEG38,36,38,8,12,20,0,0,0,0,0,0,0,0,0,91,73,0,0,0,31,0,1,12,4,1.63889,0,0,0,0,0,0,0,78.3666,91.17851,0,0,0.06896,0.90822,0.32292,87.7381,21.58069,2.72458
SCH,SEG39,16,43,5,13,18,0,0,0,0,0,0,0,0,0,93,67,0,0,0,30,0,0,2,2,1.36806,0,0,0,0,0,0,0,74.30747,93.16838,0,0,0,0.46598,0.46154,80.43478,9.68725,1.52449
SCH,SEG40,15,100,4,16,20,0,1,1,0,0.67,0.34,0,0.67,0.67,93,63,0,1,1,26,0,0,2,2,1.44444,0.5,1,1,0.08782,0,0.05884,0,66.98335,92.66317,0.08782,0,0,0.27894,0.40625,69.47697,5.68868,0.79639
SCH,SEG41,38,84,6,7,13,0,0,0,0,0,0,0,0,0,88,76,0,0,0,16,0,0,2,2,1.10417,0,0,0,0,0,0,0,80.71936,88.32687,0,0,0,0.24427,0.38095,85.71429,16.95028,1.14368
